10,72.4,-51.4
20,71.8,-51.4
30,71.2,-51.3
40,70.5,-51.2
50,69.9,-51.1
60,69.3,-51.1
70,68.7,-51
80,68,-50.9
90,67.4,-50.8
100,66.8,-50.7
110,66.2,-50.7
120,65.6,-50.6
130,64.9,-50.5
140,64.3,-50.4
150,63.7,-50.3
160,63.1,-50.3
170,62.5,-50.2
180,61.9,-50.1
190,61.2,-50
200,60.6,-49.9
210,60,-49.8
220,59.4,-49.7
230,58.8,-49.6
240,58.2,-49.6
250,57.6,-49.5
260,57,-49.4
270,56.4,-49.3
280,55.7,-49.2
290,55.1,-49.1
300,54.5,-49
310,53.9,-48.9
320,53.3,-48.8
330,52.7,-48.7
340,52.1,-48.6
350,51.5,-48.5
360,50.9,-48.4
370,50.3,-48.3
380,49.7,-48.2
390,49.1,-48.2
400,48.5,-48.1
410,47.9,-48
420,47.3,-47.9
430,46.7,-47.8
440,46.1,-47.7
450,45.5,-47.6
460,44.9,-47.5
470,44.3,-47.4
480,43.7,-47.3
490,43.1,-47.2
500,42.5,-47.1
510,41.9,-47
520,41.4,-46.9
530,40.8,-46.8
540,40.2,-46.7
550,39.6,-46.6
560,39,-46.5
570,38.4,-46.4
580,37.8,-46.2
590,37.2,-46.1
600,36.6,-46
610,36,-45.9
620,35.4,-45.8
630,34.8,-45.7
640,34.2,-45.6
650,33.7,-45.5
660,33.1,-45.4
670,32.5,-45.3
680,31.9,-45.2
690,31.3,-45.1
700,30.7,-45
710,30.1,-44.9
720,29.5,-44.8
730,28.9,-44.7
740,28.3,-44.6
750,27.8,-44.5
760,27.2,-44.4
770,26.6,-44.3
780,26,-44.2
790,25.4,-44.1
800,24.8,-44
810,24.2,-43.9
820,23.6,-43.8
830,23,-43.7
840,22.5,-43.6
850,21.9,-43.5
860,21.3,-43.4
870,20.7,-43.3
880,20.1,-43.2
890,19.5,-43.1
900,18.9,-43
910,18.3,-42.9
920,17.7,-42.8
930,17.1,-42.7
940,16.5,-42.6
950,16,-42.5
960,15.4,-42.4
970,14.8,-42.3
980,14.2,-42.2
990,13.6,-42.1
1000,13,-42
1010,12.4,-41.9
1020,11.8,-41.8
1030,11.2,-41.7
1040,10.6,-41.6
1050,10,-41.6
1060,9.4,-41.5
1070,8.8,-41.4
1080,8.2,-41.3
1090,7.6,-41.2
1100,7,-41.1
1110,6.4,-41
1120,5.8,-40.9
1130,5.2,-40.8
1140,4.6,-40.7
1150,4,-40.7
1160,3.4,-40.6
1170,2.8,-40.5
1180,2.2,-40.4
1190,1.6,-40.3
1200,1,-40.2
1210,0.4,-40.1
1220,359.8,-40.1
1230,359.2,-40
1240,358.6,-39.9
1250,358,-39.8
1260,357.4,-39.7
1270,356.8,-39.7
1280,356.2,-39.6
1290,355.6,-39.5
1300,355,-39.4
1310,354.4,-39.3
1320,353.8,-39.3
1330,353.2,-39.2
1340,352.6,-39.1
1350,352,-39
1360,351.3,-39
1370,350.7,-38.9
1380,350.1,-38.8
1390,349.5,-38.8
1400,348.9,-38.7
1410,348.3,-38.6
1420,347.7,-38.6
1430,347.1,-38.5
1440,346.4,-38.4
1450,345.8,-38.4
1460,345.2,-38.3
1470,344.6,-38.2
1480,344,-38.2
1490,343.4,-38.1
1500,342.7,-38.1
1510,342.1,-38
1520,341.5,-37.9
1530,340.9,-37.9
1540,340.3,-37.8
1550,339.6,-37.8
1560,339,-37.7
1570,338.4,-37.7
1580,337.8,-37.6
1590,337.2,-37.6
1600,336.5,-37.5
1610,335.9,-37.5
1620,335.3,-37.4
1630,334.7,-37.4
1640,334,-37.3
1650,333.4,-37.3
1660,332.8,-37.2
1670,332.2,-37.2
1680,331.5,-37.2
1690,330.9,-37.1
1700,330.3,-37.1
1710,329.7,-37
1720,329,-37
1730,328.4,-37
1740,327.8,-36.9
1750,327.1,-36.9
1760,326.5,-36.9
1770,325.9,-36.8
1780,325.2,-36.8
1790,324.6,-36.8
1800,324,-36.7
1810,323.4,-36.7
1820,322.7,-36.7
1830,322.1,-36.7
1840,321.5,-36.6
1850,320.8,-36.6
1860,320.2,-36.6
1870,319.6,-36.6
1880,318.9,-36.6
1890,318.3,-36.5
1900,317.7,-36.5
1910,317,-36.5
1920,316.4,-36.5
1930,315.7,-36.5
1940,315.1,-36.5
1950,314.5,-36.5
1960,313.8,-36.4
1970,313.2,-36.4
1980,312.6,-36.4
1990,311.9,-36.4
2000,311.3,-36.4
2010,310.7,-36.4
2020,310,-36.4
2030,309.4,-36.4
2040,308.8,-36.4
2050,308.1,-36.4
2060,307.5,-36.4
2070,306.9,-36.4
2080,306.2,-36.4
2090,305.6,-36.4
2100,304.9,-36.4
2110,304.3,-36.4
2120,303.7,-36.4
2130,303,-36.4
2140,302.4,-36.5
2150,301.8,-36.5
2160,301.1,-36.5
2170,300.5,-36.5
2180,299.9,-36.5
2190,299.2,-36.5
2200,298.6,-36.5
